Wavenumber,m
4159.41089,-22
4164.7431,-21
4169.8383,-20
4175.0397,-19
4180.1487,-18
4185.1352,-17
4190.0889,-16
4194.9763,-15
4199.7749,-14
4204.5173,-13
4209.1956,-12
4213.7919,-11
4218.34,-10
4222.8016,-9
4227.2029,-8
4231.5265,-7
4235.793,-6
4239.987,-5
4244.1152,-4
4248.1695,-3
4252.1513,-2
4256.0527,-1
4263.6935,1
4267.4025,2
4271.0128,3
4274.595,4
4278.0907,5
4281.5008,6
4284.8557,7
4288.1296,8
4291.3536,9
4294.4857,10
4297.5526,11
4300.5429,12
4303.4761,13
4306.3251,14
4309.1065,15
4311.8033,16
4314.4515,17
4316.9907,18
4319.507,19
4321.9577,20
4324.2598,21
4326.4911,22
4328.6995,23
4330.8853,24
